week,home,away,home_owner,away_owner
1,alexandra,whowonthelastsuperbowl,Lexi,Nate
1,sturmanator15,zachzoske,Wade,Zach
1,schirmerj,jackperkins74,Jono,Jack
1,kevbots22,theoceanpulse,Kevin,Dillon
1,lukstein,purpsworth,Luke,Trevor
1,gganoom,shawne2520997,Grant,Shawnee
2,lukstein,whowonthelastsuperbowl,Luke,Nate
2,theoceanpulse,shawne2520997,Dillon,Shawnee
2,gganoom,jackperkins74,Grant,Jack
2,purpsworth,sturmanator15,Trevor,Wade
2,alexandra,kevbots22,Lexi,Kevin
2,zachzoske,schirmerj,Zach,Jono
3,jackperkins74,whowonthelastsuperbowl,Jack,Nate
3,theoceanpulse,sturmanator15,Dillon,Wade
3,alexandra,lukstein,Lexi,Luke
3,zachzoske,shawne2520997,Zach,Shawnee
3,gganoom,schirmerj,Grant,Jono
3,purpsworth,kevbots22,Trevor,Kevin
4,purpsworth,whowonthelastsuperbowl,Trevor,Nate
4,gganoom,kevbots22,Grant,Kevin
4,schirmerj,shawne2520997,Jono,Shawnee
4,zachzoske,lukstein,Zach,Luke
4,theoceanpulse,alexandra,Dillon,Lexi
4,jackperkins74,sturmanator15,Jack,Wade
5,sturmanator15,whowonthelastsuperbowl,Wade,Nate
5,jackperkins74,alexandra,Jack,Lexi
5,zachzoske,theoceanpulse,Zach,Dillon
5,lukstein,schirmerj,Luke,Jono
5,kevbots22,shawne2520997,Kevin,Shawnee
5,purpsworth,gganoom,Trevor,Grant
6,alexandra,schirmerj,Lexi,Jono
6,jackperkins74,lukstein,Jack,Luke
6,purpsworth,theoceanpulse,Trevor,Dillon
6,sturmanator15,kevbots22,Wade,Kevin
6,whowonthelastsuperbowl,gganoom,Nate,Grant
6,zachzoske,shawne2520997,Zach,Shawnee
7,whowonthelastsuperbowl,shawne2520997,Nate,Shawnee
7,gganoom,lukstein,Grant,Luke
7,purpsworth,theoceanpulse,Trevor,Dillon
7,jackperkins74,kevbots22,Jack,Kevin
7,schirmerj,sturmanator15,Jono,Wade
7,zachzoske,alexandra,Zach,Lexi
8,whowonthelastsuperbowl,kevbots22,Nate,Kevin
8,purpsworth,schirmerj,Trevor,Jono
8,zachzoske,gganoom,Zach,Grant
8,alexandra,shawne2520997,Lexi,Shawnee
8,lukstein,sturmanator15,Luke,Wade
8,jackperkins74,theoceanpulse,Jack,Dillon
9,zachzoske,schirmerj,Zach,Jono
9,gganoom,shawne2520997,Grant,Shawnee
9,sturmanator15,whowonthelastsuperbowl,Wade,Nate
9,kevbots22,purpsworth,Kevin,Trevor
9,jackperkins74,theoceanpulse,Jack,Dillon
9,lukstein,alexandra,Luke,Lexi
10,whowonthelastsuperbowl,schirmerj,Nate,Jono
10,kevbots22,zachzoske,Kevin,Zach
10,purpsworth,alexandra,Trevor,Lexi
10,gganoom,sturmanator15,Grant,Wade
10,shawne2520997,jackperkins74,Shawnee,Jack
10,lukstein,theoceanpulse,Luke,Dillon
11,whowonthelastsuperbowl,theoceanpulse,Nate,Dillon
11,jackperkins74,lukstein,Jack,Luke
11,sturmanator15,shawne2520997,Wade,Shawnee
11,gganoom,alexandra,Grant,Lexi
11,zachzoske,purpsworth,Zach,Trevor
11,schirmerj,kevbots22,Jono,Kevin
12,jackperkins74,schirmerj,Jack,Jono
12,alexandra,purpsworth,Lexi,Trevor
12,lukstein,sturmanator15,Luke,Wade
12,theoceanpulse,gganoom,Dillon,Grant
12,kevbots22,zachzoske,Kevin,Zach
12,whowonthelastsuperbowl,shawne2520997,Nate,Shawnee
13,zachzoske,whowonthelastsuperbowl,Zach,Nate
13,alexandra,schirmerj,Lexi,Jono
13,sturmanator15,kevbots22,Wade,Kevin
13,purpsworth,jackperkins74,Trevor,Jack
13,gganoom,theoceanpulse,Grant,Dillon
13,shawne2520997,lukstein,Shawnee,Luke
14,gganoom,whowonthelastsuperbowl,Grant,Nate
14,shawne2520997,purpsworth,Shawnee,Trevor
14,kevbots22,lukstein,Kevin,Luke
14,theoceanpulse,schirmerj,Dillon,Jono
14,zachzoske,jackperkins74,Zach,Jack
14,sturmanator15,alexandra,Wade,Lexi
